,Unnamed: 0,Star_name,Distance,Mass,Radius,Gravity
209,209,CFBDS J150411+102717,71,8.3541723408e+28,67202685.954,3.004177531014934e-10
210,210,2MASSW J1506544+132106 [de],46,1.3100861170799998e+29,72922063.482,4.0010812576878393e-10
211,211,2MASS 1507−1627,23.9,1.1392053192e+29,70777296.90900001,3.6932566246553616e-10
212,212,TVLM 868-110639,53,1.49995367028e+29,77211596.628,4.0860926012824775e-10
213,213,2MASSW J1515008+484742 [de],34,1.08224505324e+29,70777296.90900001,3.508593793422593e-10
214,214,2MASSI J1526140+204341 [de],67,1.02528478728e+29,70062374.71800001,3.3921123865496126e-10
215,215,DENIS-P J153941.96-052042.4 [de],51,1.19616558516e+29,71492219.1,3.800748858715957e-10
216,216,2MASS J15462718-3325111 [de],37,8.3541723408e+28,67202685.954,3.004177531014934e-10
217,217,2MASSW J1552591+294849 [de],68,5.696026596e+28,102233873.31300001,8.850703745475867e-11
218,218,2MASSW J1555157-095605 [de],44,1.3480596277199998e+29,73636985.673,4.037499891060344e-10
219,219,2MASS J16150413+1340079 [de],48,7.974437234399999e+28,67202685.954,2.867624006877891e-10
220,220,SDSSp J162414.37+002915.6 [de],36,8.1643047876e+28,67202685.954,2.9359007689464126e-10
221,221,2MASS J16262034+3925190 [de],110,1.3480596277199998e+29,73636985.673,4.037499891060344e-10
222,222,2MASSW J1632291+190441 [de],50,9.3035101068e+28,69347452.527,3.1418195357886294e-10
223,223,WISEPA J164715.59+563208.2,28,7.784569681199999e+28,67202685.954,2.7993472448093697e-10
224,224,LSPM J1658+7027 [de],60,1.3860331383599998e+29,74351907.864,4.071784697072309e-10
225,225,2MASSI J1726000+153819,114,4.5568212767999995e+28,100089106.74,7.38726697515249e-11
226,226,SDSSp J175032.96+175903.9,90,8.9237750004e+28,69347452.527,3.013582003715624e-10
227,227,2MASS J18283572-4849046,39,8.544039894e+28,67917608.145,3.008111482956832e-10
228,228,LSR J1835+3259,18.5,1.46198015964e+29,76496674.437,4.0574370828966643e-10
229,229,2MASSW J1841086+311727,138,1.27211260644e+29,72207141.291,3.9624215729545515e-10
230,230,2MASS J18432213+4040209,46,1.8227285107199998e+29,87220507.302,3.8911699197255794e-10
231,231,2MASS J20004841-7523070,105,4.7466888299999995e+28,134405371.908,4.2672976292825755e-11
232,232,SDSS J204749.61-071818.3,65,8.733907447199999e+28,68632530.336,3.011230425707775e-10
233,233,2MASSI J2057540-025230,47,1.3290728724000001e+29,72922063.482,4.059067942581867e-10
234,234,2MASSI J2104149-103736,62,1.3100861170799998e+29,72922063.482,4.0010812576878393e-10
235,235,PSO J318.5−22,80,1.2341390957999999e+28,109383095.22299999,1.6751708969385478e-11
236,236,HB 2124-4228,113,1.78475500008e+29,86505585.111,3.8733410385848386e-10
237,237,2MASS J21392676+0220226,32.1,8.733907447199999e+28,68632530.336,3.011230425707775e-10
238,238,2MASS J21481628+4003593,26.3,1.0442715426e+29,70777296.90900001,3.3854852392674146e-10
239,239,2MASSW J2206450-421721,93,4.1770861704e+28,95084651.403,7.503225921207517e-11
240,240,2MASSW J2208136+292121,154,5.1264239364e+28,100804028.93100001,8.193211448222545e-11
241,241,2MASSW J2224438-015852,38,1.1581920745199998e+29,70777296.90900001,3.754810901732951e-10
242,242,2MASS J22282889-4310262,35,7.974437234399999e+28,67202685.954,2.867624006877891e-10
243,243,2MASS J22373255+3922398,64,1.3860331383599998e+29,74351907.864,4.071784697072309e-10
244,244,2MASSW J2244316+204343,56,2.2784106383999997e+28,92224962.63900001,4.3504126168195664e-11
245,245,2MASS J23224684-3133231,56,4.5568212767999995e+28,99374184.549,7.493940930230776e-11
246,246,2MASS J23225299-6151275,148,3.2277484044000003e+28,113672628.369,4.056797193084415e-11
247,247,2MASS J23515044-2537367,67,1.67083446816e+29,82930974.156,3.9454388620760925e-10
248,248,2MASSI J2356547-155310,74,1.5189404256e+29,77926518.81899999,4.0622403476976917e-10
249,249,WISE 0410+1502,20,1.1392053191999999e+28,83645896.347,2.644284328895259e-11
250,250,WISE 0458+6434A,35.9,2.848013298e+28,300267320.22,5.130046510522563e-12
251,251,WISE 0458+6434B,35.9,1.898675532e+28,271670432.58,4.177932615217822e-12
252,252,WISE 1405+5534,25.3,5.696026596e+28,61483308.426,2.4471070969610065e-10
